freq,psd,channel,stem,participant,condition
11.5,3.026717056409935,Fz,7103 amo,7103,amo
12.0,3.2173689199058013,Fz,7103 amo,7103,amo
12.5,3.800556307789151,Fz,7103 amo,7103,amo
13.0,2.4263129330765056,Fz,7103 amo,7103,amo
13.5,2.322549059929966,Fz,7103 amo,7103,amo
14.0,2.2584286695973272,Fz,7103 amo,7103,amo
14.5,2.0378113536520925,Fz,7103 amo,7103,amo
15.0,2.0742341672993283,Fz,7103 amo,7103,amo
15.5,1.9749075027421843,Fz,7103 amo,7103,amo
16.0,2.1690292738065446,Fz,7103 amo,7103,amo
16.5,2.347864343439019,Fz,7103 amo,7103,amo
17.0,2.258288711004185,Fz,7103 amo,7103,amo
17.5,2.0759883167850135,Fz,7103 amo,7103,amo
18.0,2.3929600526705848,Fz,7103 amo,7103,amo
18.5,3.0912917331735486,Fz,7103 amo,7103,amo
19.0,2.1551882058253238,Fz,7103 amo,7103,amo
19.5,2.016427673953082,Fz,7103 amo,7103,amo
20.0,1.8886151106350466,Fz,7103 amo,7103,amo
20.5,1.7810920686765006,Fz,7103 amo,7103,amo
21.0,1.6771564698672807,Fz,7103 amo,7103,amo
21.5,1.507791556558729,Fz,7103 amo,7103,amo
22.0,1.311813610048821,Fz,7103 amo,7103,amo
22.5,1.2060244825829527,Fz,7103 amo,7103,amo
23.0,1.1841160173209295,Fz,7103 amo,7103,amo
23.5,1.2503574646687887,Fz,7103 amo,7103,amo
24.0,1.2064463754759558,Fz,7103 amo,7103,amo
24.5,1.277535308255006,Fz,7103 amo,7103,amo
25.0,0.9941565370928933,Fz,7103 amo,7103,amo
25.5,0.8988765798718196,Fz,7103 amo,7103,amo
26.0,0.8943517631936115,Fz,7103 amo,7103,amo
26.5,0.8375975251486687,Fz,7103 amo,7103,amo
27.0,0.7462533769498849,Fz,7103 amo,7103,amo
27.5,0.624041445101781,Fz,7103 amo,7103,amo
28.0,0.5724897149505846,Fz,7103 amo,7103,amo
28.5,0.6129504743551553,Fz,7103 amo,7103,amo
29.0,0.623220949839346,Fz,7103 amo,7103,amo
29.5,0.48642925473044707,Fz,7103 amo,7103,amo
30.0,0.45427323569203365,Fz,7103 amo,7103,amo
30.5,0.43930150810118335,Fz,7103 amo,7103,amo
31.0,0.4724623888890476,Fz,7103 amo,7103,amo
31.5,0.4718320102299486,Fz,7103 amo,7103,amo
32.0,0.4596477808171012,Fz,7103 amo,7103,amo
32.5,0.4019153161498099,Fz,7103 amo,7103,amo
33.0,0.3846036463081365,Fz,7103 amo,7103,amo
33.5,0.3808446417850613,Fz,7103 amo,7103,amo
34.0,0.3698888276962019,Fz,7103 amo,7103,amo
34.5,0.33267134817677163,Fz,7103 amo,7103,amo
35.0,0.3075708201112688,Fz,7103 amo,7103,amo
35.5,0.303822537412871,Fz,7103 amo,7103,amo
36.0,0.3457656549544821,Fz,7103 amo,7103,amo
36.5,0.3769331033325511,Fz,7103 amo,7103,amo
37.0,0.3041778870387252,Fz,7103 amo,7103,amo
37.5,0.28868499164160094,Fz,7103 amo,7103,amo
38.0,0.364855315475356,Fz,7103 amo,7103,amo
38.5,0.3288094563034935,Fz,7103 amo,7103,amo
39.0,0.3142814418583705,Fz,7103 amo,7103,amo
39.5,0.26820792214568445,Fz,7103 amo,7103,amo
